question,answer
How is Long Island Iced Tea prepared?,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
Does a Long Island Iced Tea have alcohol in it?,Long Island Iced Tea is listed as: Alcoholic.
Is Long Island Iced Tea an alcoholic drink?,Long Island Iced Tea is listed as: Alcoholic.
Is Long Island Iced Tea non alcoholic?,Long Island Iced Tea is listed as: Alcoholic.
What type of drink is a Long Island Iced Tea?,Long Island Iced Tea is in the category: Ordinary Drink.
Is Long Island Iced Tea a cocktail or a shot?,Long Island Iced Tea is in the category: Ordinary Drink.
Which category does Long Island Iced Tea belong to?,Long Island Iced Tea is in the category: Ordinary Drink.
What should I serve a Long Island Iced Tea in?,Long Island Iced Tea is served in a Highball glass.
What glass do I need for Long Island Iced Tea?,Long Island Iced Tea is served in a Highball glass.
What kind of glass is best for a Long Island Iced Tea?,Long Island Iced Tea is served in a Highball glass.
What goes into a Mojito?,"Mojito contains: Light rum, Lime, Sugar, Mint, Soda water."
Ingredients for Mojito?,"Mojito contains: Light rum, Lime, Sugar, Mint, Soda water."
What does a Mojito contain?,"Mojito contains: Light rum, Lime, Sugar, Mint, Soda water."
How do I make a Mojito at home?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
How is Mojito prepared?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Whats the recipe for a Mojito?,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Does a Mojito have alcohol in it?,Mojito is listed as: Alcoholic.
Is Mojito an alcoholic drink?,Mojito is listed as: Alcoholic.
Is Mojito non alcoholic?,Mojito is listed as: Alcoholic.
What type of drink is a Mojito?,Mojito is in the category: Cocktail.
Is Mojito a cocktail or a shot?,Mojito is in the category: Cocktail.
Which category does Mojito belong to?,Mojito is in the category: Cocktail.
What should I serve a Mojito in?,Mojito is served in a Highball glass.
What glass do I need for Mojito?,Mojito is served in a Highball glass.
What kind of glass is best for a Mojito?,Mojito is served in a Highball glass.
What goes into a Martini?,"Martini contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
Ingredients for Martini?,"Martini contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
Can you tell me whats in a Martini?,"Martini contains: 1 2/3 oz Gin, 1/3 oz Dry Vermouth, 1 Olive."
Can you walk me through making a Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Whats the recipe for a Martini?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
How do I make a Martini at home?,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Does a Martini have alcohol in it?,Martini is listed as: Alcoholic.
Is Martini an alcoholic drink?,Martini is listed as: Alcoholic.
Is Martini non alcoholic?,Martini is listed as: Alcoholic.
What type of drink is a Martini?,Martini is in the category: Cocktail.
Is Martini a cocktail or a shot?,Martini is in the category: Cocktail.
Which category does Martini belong to?,Martini is in the category: Cocktail.
What should I serve a Martini in?,Martini is served in a Cocktail glass.
What glass do I need for Martini?,Martini is served in a Cocktail glass.
What kind of glass is best for a Martini?,Martini is served in a Cocktail glass.
Ingredients for Manhattan?,"Manhattan contains: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
What goes into a Manhattan?,"Manhattan contains: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
Whats in Manhattan?,"Manhattan contains: 3/4 oz Sweet Vermouth, 2 1/2 oz Blended Bourbon, dash Angostura bitters, 2 or 3 Ice, 1 Maraschino cherry, 1 twist of Orange peel."
How is Manhattan prepared?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
How do I make a Manhattan at home?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
How do you prepare Manhattan?,"Stirred over ice, strained into a chilled glass, garnished, and served up."
Does a Manhattan have alcohol in it?,Manhattan is listed as: Alcoholic.
Is Manhattan an alcoholic drink?,Manhattan is listed as: Alcoholic.
Is Manhattan non alcoholic?,Manhattan is listed as: Alcoholic.
What type of drink is a Manhattan?,Manhattan is in the category: Cocktail.
Is Manhattan a cocktail or a shot?,Manhattan is in the category: Cocktail.
Which category does Manhattan belong to?,Manhattan is in the category: Cocktail.
What should I serve a Manhattan in?,Manhattan is served in a Cocktail glass.
What glass do I need for Manhattan?,Manhattan is served in a Cocktail glass.
What kind of glass is best for a Manhattan?,Manhattan is served in a Cocktail glass.
Whats in Margarita?,"Margarita contains: Tequila, Triple sec, Lime juice, Salt."
Can you tell me whats in a Margarita?,"Margarita contains: Tequila, Triple sec, Lime juice, Salt."
Ingredients for Margarita?,"Margarita contains: Tequila, Triple sec, Lime juice, Salt."
How do you prepare Margarita?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
How is Margarita prepared?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
Can you walk me through making a Margarita?,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
Does a Margarita have alcohol in it?,Margarita is listed as: Alcoholic.
Is Margarita an alcoholic drink?,Margarita is listed as: Alcoholic.
Is Margarita non alcoholic?,Margarita is listed as: Alcoholic.
What type of drink is a Margarita?,Margarita is in the category: Ordinary Drink.
Is Margarita a cocktail or a shot?,Margarita is in the category: Ordinary Drink.
Which category does Margarita belong to?,Margarita is in the category: Ordinary Drink.
What should I serve a Margarita in?,Margarita is served in a Cocktail glass.
What glass do I need for Margarita?,Margarita is served in a Cocktail glass.
What kind of glass is best for a Margarita?,Margarita is served in a Cocktail glass.
Ingredients for Moscow Mule?,"Moscow Mule contains: 2 oz Vodka, 2 oz Lime juice, 8 oz Ginger ale."
What does a Moscow Mule contain?,"Moscow Mule contains: 2 oz Vodka, 2 oz Lime juice, 8 oz Ginger ale."
Whats in Moscow Mule?,"Moscow Mule contains: 2 oz Vodka, 2 oz Lime juice, 8 oz Ginger ale."
How do you prepare Moscow Mule?,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
Can you walk me through making a Moscow Mule?,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
How is Moscow Mule prepared?,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
Does a Moscow Mule have alcohol in it?,Moscow Mule is listed as: Alcoholic.
Is Moscow Mule an alcoholic drink?,Moscow Mule is listed as: Alcoholic.
Is Moscow Mule non alcoholic?,Moscow Mule is listed as: Alcoholic.
What type of drink is a Moscow Mule?,Moscow Mule is in the category: Punch / Party Drink.
Is Moscow Mule a cocktail or a shot?,Moscow Mule is in the category: Punch / Party Drink.
Which category does Moscow Mule belong to?,Moscow Mule is in the category: Punch / Party Drink.
What should I serve a Moscow Mule in?,Moscow Mule is served in a Copper Mug.
What glass do I need for Moscow Mule?,Moscow Mule is served in a Copper Mug.
What kind of glass is best for a Moscow Mule?,Moscow Mule is served in a Copper Mug.
What does a Mango Mojito contain?,"Mango Mojito contains: 3 Lime, 1 Fresh Mango, Sprig Mint, 200 ml White Rum, cubes Ice, Top Soda Water, Garnish with Mango."
What goes into a Mango Mojito?,"Mango Mojito contains: 3 Lime, 1 Fresh Mango, Sprig Mint, 200 ml White Rum, cubes Ice, Top Soda Water, Garnish with Mango."
Whats in Mango Mojito?,"Mango Mojito contains: 3 Lime, 1 Fresh Mango, Sprig Mint, 200 ml White Rum, cubes Ice, Top Soda Water, Garnish with Mango."
Can you walk me through making a Mango Mojito?,"Squeeze the juice from 1 limes and blend with the mango to give a smooth pure. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango pure between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
Whats the recipe for a Mango Mojito?,"Squeeze the juice from 1 limes and blend with the mango to give a smooth pure. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango pure between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
How is Mango Mojito prepared?,"Squeeze the juice from 1 limes and blend with the mango to give a smooth pure. Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint. Divide the mango pure between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like."
Does a Mango Mojito have alcohol in it?,Mango Mojito is listed as: Alcoholic.
Is Mango Mojito an alcoholic drink?,Mango Mojito is listed as: Alcoholic.
Is Mango Mojito non alcoholic?,Mango Mojito is listed as: Alcoholic.
What type of drink is a Mango Mojito?,Mango Mojito is in the category: Cocktail.
Is Mango Mojito a cocktail or a shot?,Mango Mojito is in the category: Cocktail.
Which category does Mango Mojito belong to?,Mango Mojito is in the category: Cocktail.
What should I serve a Mango Mojito in?,Mango Mojito is served in a Jar.
What glass do I need for Mango Mojito?,Mango Mojito is served in a Jar.
What kind of glass is best for a Mango Mojito?,Mango Mojito is served in a Jar.
Ingredients for Mojito Extra?,"Mojito Extra contains: 1/2 handful Mint, 3 cl Lemon juice, 1/8 L Jamaican Dark rum, 1/8 L Club soda, 8 drops Angostura bitters."
What goes into a Mojito Extra?,"Mojito Extra contains: 1/2 handful Mint, 3 cl Lemon juice, 1/8 L Jamaican Dark rum, 1/8 L Club soda, 8 drops Angostura bitters."
What does a Mojito Extra contain?,"Mojito Extra contains: 1/2 handful Mint, 3 cl Lemon juice, 1/8 L Jamaican Dark rum, 1/8 L Club soda, 8 drops Angostura bitters."
Can you walk me through making a Mojito Extra?,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
How do you prepare Mojito Extra?,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
How do I make a Mojito Extra at home?,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
Does a Mojito Extra have alcohol in it?,Mojito Extra is listed as: Alcoholic.
Is Mojito Extra an alcoholic drink?,Mojito Extra is listed as: Alcoholic.
Is Mojito Extra non alcoholic?,Mojito Extra is listed as: Alcoholic.
What type of drink is a Mojito Extra?,Mojito Extra is in the category: Cocktail.
Is Mojito Extra a cocktail or a shot?,Mojito Extra is in the category: Cocktail.
Which category does Mojito Extra belong to?,Mojito Extra is in the category: Cocktail.
What should I serve a Mojito Extra in?,Mojito Extra is served in a Collins glass.
What glass do I need for Mojito Extra?,Mojito Extra is served in a Collins glass.
What kind of glass is best for a Mojito Extra?,Mojito Extra is served in a Collins glass.
Whats in Negroni?,"Negroni contains: 1 oz Gin, 1 oz Campari, 1 oz Sweet Vermouth."
Can you tell me whats in a Negroni?,"Negroni contains: 1 oz Gin, 1 oz Campari, 1 oz Sweet Vermouth."
What does a Negroni contain?,"Negroni contains: 1 oz Gin, 1 oz Campari, 1 oz Sweet Vermouth."
How do you prepare Negroni?,"Stir into glass over ice, garnish and serve."
How is Negroni prepared?,"Stir into glass over ice, garnish and serve."
How do I make a Negroni at home?,"Stir into glass over ice, garnish and serve."
Does a Negroni have alcohol in it?,Negroni is listed as: Alcoholic.
Is Negroni an alcoholic drink?,Negroni is listed as: Alcoholic.
Is Negroni non alcoholic?,Negroni is listed as: Alcoholic.
What type of drink is a Negroni?,Negroni is in the category: Ordinary Drink.
Is Negroni a cocktail or a shot?,Negroni is in the category: Ordinary Drink.
Which category does Negroni belong to?,Negroni is in the category: Ordinary Drink.
What should I serve a Negroni in?,Negroni is served in a Old-fashioned glass.
What glass do I need for Negroni?,Negroni is served in a Old-fashioned glass.
What kind of glass is best for a Negroni?,Negroni is served in a Old-fashioned glass.
Ingredients for Old Fashioned?,"Old Fashioned contains: 4.5 cL Bourbon, 2 dashes Angostura bitters, 1 cube Sugar, dash Water."
Can you tell me whats in a Old Fashioned?,"Old Fashioned contains: 4.5 cL Bourbon, 2 dashes Angostura bitters, 1 cube Sugar, dash Water."
What does a Old Fashioned contain?,"Old Fashioned contains: 4.5 cL Bourbon, 2 dashes Angostura bitters, 1 cube Sugar, dash Water."
Whats the recipe for a Old Fashioned?,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist, and a cocktail cherry."
How do I make a Old Fashioned at home?,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist, and a cocktail cherry."
Can you walk me through making a Old Fashioned?,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist, and a cocktail cherry."
Does a Old Fashioned have alcohol in it?,Old Fashioned is listed as: Alcoholic.
Is Old Fashioned an alcoholic drink?,Old Fashioned is listed as: Alcoholic.
Is Old Fashioned non alcoholic?,Old Fashioned is listed as: Alcoholic.
What type of drink is a Old Fashioned?,Old Fashioned is in the category: Cocktail.
Is Old Fashioned a cocktail or a shot?,Old Fashioned is in the category: Cocktail.
Which category does Old Fashioned belong to?,Old Fashioned is in the category: Cocktail.
What should I serve a Old Fashioned in?,Old Fashioned is served in a Old-fashioned glass.
What glass do I need for Old Fashioned?,Old Fashioned is served in a Old-fashioned glass.
What kind of glass is best for a Old Fashioned?,Old Fashioned is served in a Old-fashioned glass.
Ingredients for Paloma?,"Paloma contains: 3 oz Grape Soda, 1 1/2 oz Tequila."
What goes into a Paloma?,"Paloma contains: 3 oz Grape Soda, 1 1/2 oz Tequila."
What does a Paloma contain?,"Paloma contains: 3 oz Grape Soda, 1 1/2 oz Tequila."
How is Paloma prepared?,Stir together and serve over ice.
Whats the recipe for a Paloma?,Stir together and serve over ice.
How do I make a Paloma at home?,Stir together and serve over ice.
Does a Paloma have alcohol in it?,Paloma is listed as: Alcoholic.
Is Paloma an alcoholic drink?,Paloma is listed as: Alcoholic.
Is Paloma non alcoholic?,Paloma is listed as: Alcoholic.
What type of drink is a Paloma?,Paloma is in the category: Cocktail.
Is Paloma a cocktail or a shot?,Paloma is in the category: Cocktail.
Which category does Paloma belong to?,Paloma is in the category: Cocktail.
What should I serve a Paloma in?,Paloma is served in a Collins glass.
What glass do I need for Paloma?,Paloma is served in a Collins glass.
What kind of glass is best for a Paloma?,Paloma is served in a Collins glass.
What does a Pina Colada contain?,"Pina Colada contains: 3 oz Light rum, 3 tblsp Coconut milk, 3 tblsp Pineapple."
Whats in Pina Colada?,"Pina Colada contains: 3 oz Light rum, 3 tblsp Coconut milk, 3 tblsp Pineapple."
Can you tell me whats in a Pina Colada?,"Pina Colada contains: 3 oz Light rum, 3 tblsp Coconut milk, 3 tblsp Pineapple."
How is Pina Colada prepared?,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
Can you walk me through making a Pina Colada?,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
How do you prepare Pina Colada?,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
Does a Pina Colada have alcohol in it?,Pina Colada is listed as: Alcoholic.
Is Pina Colada an alcoholic drink?,Pina Colada is listed as: Alcoholic.
Is Pina Colada non alcoholic?,Pina Colada is listed as: Alcoholic.
What type of drink is a Pina Colada?,Pina Colada is in the category: Ordinary Drink.
Is Pina Colada a cocktail or a shot?,Pina Colada is in the category: Ordinary Drink.
Which category does Pina Colada belong to?,Pina Colada is in the category: Ordinary Drink.
What should I serve a Pina Colada in?,Pina Colada is served in a Collins glass.
What glass do I need for Pina Colada?,Pina Colada is served in a Collins glass.
What kind of glass is best for a Pina Colada?,Pina Colada is served in a Collins glass.
Ingredients for Pineapple Paloma?,"Pineapple Paloma contains: 4 oz Tequila, 4 oz Grapefruit Juice, 1 oz Fresh Lime Juice, 8 oz Pineapple Juice, Garnish with Lime, Rimmed Pepper."
What does a Pineapple Paloma contain?,"Pineapple Paloma contains: 4 oz Tequila, 4 oz Grapefruit Juice, 1 oz Fresh Lime Juice, 8 oz Pineapple Juice, Garnish with Lime, Rimmed Pepper."
Whats in Pineapple Paloma?,"Pineapple Paloma contains: 4 oz Tequila, 4 oz Grapefruit Juice, 1 oz Fresh Lime Juice, 8 oz Pineapple Juice, Garnish with Lime, Rimmed Pepper."
Can you walk me through making a Pineapple Paloma?,"Rub the rim of each glass with lime slice and dip into salt. Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda. Give it a quick stir. Garnish with fresh pineapple or lime."
How is Pineapple Paloma prepared?,"Rub the rim of each glass with lime slice and dip into salt. Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda. Give it a quick stir. Garnish with fresh pineapple or lime."
How do I make a Pineapple Paloma at home?,"Rub the rim of each glass with lime slice and dip into salt. Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda. Give it a quick stir. Garnish with fresh pineapple or lime."
Does a Pineapple Paloma have alcohol in it?,Pineapple Paloma is listed as: Alcoholic.
Is Pineapple Paloma an alcoholic drink?,Pineapple Paloma is listed as: Alcoholic.
Is Pineapple Paloma non alcoholic?,Pineapple Paloma is listed as: Alcoholic.
What type of drink is a Pineapple Paloma?,Pineapple Paloma is in the category: Cocktail.
Is Pineapple Paloma a cocktail or a shot?,Pineapple Paloma is in the category: Cocktail.
Which category does Pineapple Paloma belong to?,Pineapple Paloma is in the category: Cocktail.
What should I serve a Pineapple Paloma in?,Pineapple Paloma is served in a Collins glass.
What glass do I need for Pineapple Paloma?,Pineapple Paloma is served in a Collins glass.
What kind of glass is best for a Pineapple Paloma?,Pineapple Paloma is served in a Collins glass.
Can you tell me whats in a Pornstar Martini?,"Pornstar Martini contains: 3 cl Vodka, 3 cl Passoa, 1 cl Passion fruit juice, 1 cl Lime, 1 shot Prosecco."
Whats in Pornstar Martini?,"Pornstar Martini contains: 3 cl Vodka, 3 cl Passoa, 1 cl Passion fruit juice, 1 cl Lime, 1 shot Prosecco."
Ingredients for Pornstar Martini?,"Pornstar Martini contains: 3 cl Vodka, 3 cl Passoa, 1 cl Passion fruit juice, 1 cl Lime, 1 shot Prosecco."
Can you walk me through making a Pornstar Martini?,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
How do you prepare Pornstar Martini?,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
How do I make a Pornstar Martini at home?,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
Does a Pornstar Martini have alcohol in it?,Pornstar Martini is listed as: Alcoholic.
Is Pornstar Martini an alcoholic drink?,Pornstar Martini is listed as: Alcoholic.
Is Pornstar Martini non alcoholic?,Pornstar Martini is listed as: Alcoholic.
What type of drink is a Pornstar Martini?,Pornstar Martini is in the category: Cocktail.
Is Pornstar Martini a cocktail or a shot?,Pornstar Martini is in the category: Cocktail.
Which category does Pornstar Martini belong to?,Pornstar Martini is in the category: Cocktail.
What should I serve a Pornstar Martini in?,Pornstar Martini is served in a Cocktail glass.
What glass do I need for Pornstar Martini?,Pornstar Martini is served in a Cocktail glass.
What kind of glass is best for a Pornstar Martini?,Pornstar Martini is served in a Cocktail glass.
What goes into a Passion Fruit Martini?,"Passion Fruit Martini contains: 1 shot Vodka, 1/2 shot Sugar Syrup, Full Glass Passion fruit juice."
Whats in Passion Fruit Martini?,"Passion Fruit Martini contains: 1 shot Vodka, 1/2 shot Sugar Syrup, Full Glass Passion fruit juice."
Ingredients for Passion Fruit Martini?,"Passion Fruit Martini contains: 1 shot Vodka, 1/2 shot Sugar Syrup, Full Glass Passion fruit juice."
How do I make a Passion Fruit Martini at home?,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
How do you prepare Passion Fruit Martini?,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
Whats the recipe for a Passion Fruit Martini?,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
Does a Passion Fruit Martini have alcohol in it?,Passion Fruit Martini is listed as: Alcoholic.
Is Passion Fruit Martini an alcoholic drink?,Passion Fruit Martini is listed as: Alcoholic.
Is Passion Fruit Martini non alcoholic?,Passion Fruit Martini is listed as: Alcoholic.
What type of drink is a Passion Fruit Martini?,Passion Fruit Martini is in the category: Cocktail.
Is Passion Fruit Martini a cocktail or a shot?,Passion Fruit Martini is in the category: Cocktail.
Which category does Passion Fruit Martini belong to?,Passion Fruit Martini is in the category: Cocktail.
What should I serve a Passion Fruit Martini in?,Passion Fruit Martini is served in a Cocktail glass.
What glass do I need for Passion Fruit Martini?,Passion Fruit Martini is served in a Cocktail glass.
What kind of glass is best for a Passion Fruit Martini?,Passion Fruit Martini is served in a Cocktail glass.
Whats in Radioactive Long Island Iced Tea?,"Radioactive Long Island Iced Tea contains: 1 oz Rum, 1 oz Vodka, 1 oz Tequila, 1 oz Gin, 1 oz Triple sec, 1 oz Chambord raspberry liqueur, 1 oz Midori melon liqueur, 1 oz Malibu rum."
What goes into a Radioactive Long Island Iced Tea?,"Radioactive Long Island Iced Tea contains: 1 oz Rum, 1 oz Vodka, 1 oz Tequila, 1 oz Gin, 1 oz Triple sec, 1 oz Chambord raspberry liqueur, 1 oz Midori melon liqueur, 1 oz Malibu rum."
Ingredients for Radioactive Long Island Iced Tea?,"Radioactive Long Island Iced Tea contains: 1 oz Rum, 1 oz Vodka, 1 oz Tequila, 1 oz Gin, 1 oz Triple sec, 1 oz Chambord raspberry liqueur, 1 oz Midori melon liqueur, 1 oz Malibu rum."
How do I make a Radioactive Long Island Iced Tea at home?,Pour all ingredients over ice in a very tall glass. Sip cautiously.
How is Radioactive Long Island Iced Tea prepared?,Pour all ingredients over ice in a very tall glass. Sip cautiously.
Can you walk me through making a Radioactive Long Island Iced Tea?,Pour all ingredients over ice in a very tall glass. Sip cautiously.
Does a Radioactive Long Island Iced Tea have alcohol in it?,Radioactive Long Island Iced Tea is listed as: Alcoholic.
Is Radioactive Long Island Iced Tea an alcoholic drink?,Radioactive Long Island Iced Tea is listed as: Alcoholic.
Is Radioactive Long Island Iced Tea non alcoholic?,Radioactive Long Island Iced Tea is listed as: Alcoholic.
What type of drink is a Radioactive Long Island Iced Tea?,Radioactive Long Island Iced Tea is in the category: Ordinary Drink.
Is Radioactive Long Island Iced Tea a cocktail or a shot?,Radioactive Long Island Iced Tea is in the category: Ordinary Drink.
Which category does Radioactive Long Island Iced Tea belong to?,Radioactive Long Island Iced Tea is in the category: Ordinary Drink.
What should I serve a Radioactive Long Island Iced Tea in?,Radioactive Long Island Iced Tea is served in a Collins Glass.
What glass do I need for Radioactive Long Island Iced Tea?,Radioactive Long Island Iced Tea is served in a Collins Glass.
What kind of glass is best for a Radioactive Long Island Iced Tea?,Radioactive Long Island Iced Tea is served in a Collins Glass.
What does a Spritz contain?,"Spritz contains: 6 cl Prosecco, 4 cl Campari, splash Soda Water."
Ingredients for Spritz?,"Spritz contains: 6 cl Prosecco, 4 cl Campari, splash Soda Water."
Whats in Spritz?,"Spritz contains: 6 cl Prosecco, 4 cl Campari, splash Soda Water."
Whats the recipe for a Spritz?,"Build into glass over ice, garnish and serve."
How is Spritz prepared?,"Build into glass over ice, garnish and serve."
Can you walk me through making a Spritz?,"Build into glass over ice, garnish and serve."
Does a Spritz have alcohol in it?,Spritz is listed as: Alcoholic.
Is Spritz an alcoholic drink?,Spritz is listed as: Alcoholic.
Is Spritz non alcoholic?,Spritz is listed as: Alcoholic.
What type of drink is a Spritz?,Spritz is in the category: Ordinary Drink.
Is Spritz a cocktail or a shot?,Spritz is in the category: Ordinary Drink.
Which category does Spritz belong to?,Spritz is in the category: Ordinary Drink.
What should I serve a Spritz in?,Spritz is served in a Old-Fashioned glass.
What glass do I need for Spritz?,Spritz is served in a Old-Fashioned glass.
What kind of glass is best for a Spritz?,Spritz is served in a Old-Fashioned glass.
What goes into a Sangria?,"Sangria contains: Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon."
Ingredients for Sangria?,"Sangria contains: Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon."
Whats in Sangria?,"Sangria contains: Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon."
How do I make a Sangria at home?,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
Can you walk me through making a Sangria?,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
How do you prepare Sangria?,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
Does a Sangria have alcohol in it?,Sangria is listed as: Alcoholic.
Is Sangria an alcoholic drink?,Sangria is listed as: Alcoholic.
Is Sangria non alcoholic?,Sangria is listed as: Alcoholic.
What type of drink is a Sangria?,Sangria is in the category: Punch / Party Drink.
Is Sangria a cocktail or a shot?,Sangria is in the category: Punch / Party Drink.
Which category does Sangria belong to?,Sangria is in the category: Punch / Party Drink.
What should I serve a Sangria in?,Sangria is served in a Pitcher.
What glass do I need for Sangria?,Sangria is served in a Pitcher.
What kind of glass is best for a Sangria?,Sangria is served in a Pitcher.
Ingredients for Sweet Sangria?,"Sweet Sangria contains: Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca."
What does a Sweet Sangria contain?,"Sweet Sangria contains: Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca."
Can you tell me whats in a Sweet Sangria?,"Sweet Sangria contains: Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca."
How do I make a Sweet Sangria at home?,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
How do you prepare Sweet Sangria?,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
