question,answer
How is a Pineapple Paloma made?,"Rub the rim of each glass with lime slice and dip into salt. Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda. Give it a quick stir. Garnish with fresh pineapple or lime."
What are the steps to make a Pineapple Paloma?,"Rub the rim of each glass with lime slice and dip into salt. Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda. Give it a quick stir. Garnish with fresh pineapple or lime."
How do I serve a Pineapple Paloma?,Serve a Pineapple Paloma in a Collins glass.
Is a Pineapple Paloma alcoholic?,Pineapple Paloma is listed as: Alcoholic.
Does Pineapple Paloma contain alcohol?,Pineapple Paloma is listed as: Alcoholic.
What category is a Pineapple Paloma?,Pineapple Paloma is in the category: Cocktail.
"Is Pineapple Paloma a cocktail, shot, or something else?",Pineapple Paloma is in the category: Cocktail.
What glass is a Pineapple Paloma served in?,Pineapple Paloma is served in a Collins glass.
What glassware do I need for a Pineapple Paloma?,You need a Collins glass for a Pineapple Paloma.
Tell me about the Pineapple Paloma cocktail.,"question Generate a cocktail with Tequila Grapefruit Juice Fresh Lime Juice Pineapple Juice Lime Pepper answer Rub the rim of each glass with lime slice and dip into salt. Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda. Give it a quick stir. Garnish with fresh pineapple or lime."
What is in a Pornstar Martini?,"Pornstar Martini contains: 3 cl Vodka, 3 cl Passoa, 1 cl Passion fruit juice, 1 cl Lime, 1 shot Prosecco."
What ingredients are in a Pornstar Martini?,"The ingredients for Pornstar Martini are: 3 cl Vodka, 3 cl Passoa, 1 cl Passion fruit juice, 1 cl Lime, 1 shot Prosecco."
List the ingredients of a Pornstar Martini.,"Pornstar Martini uses: 3 cl Vodka, 3 cl Passoa, 1 cl Passion fruit juice, 1 cl Lime, 1 shot Prosecco."
What's in the Pornstar Martini cocktail?,"The Pornstar Martini cocktail contains: 3 cl Vodka, 3 cl Passoa, 1 cl Passion fruit juice, 1 cl Lime, 1 shot Prosecco."
Does a Pornstar Martini contain Vodka?,Yes — Pornstar Martini includes Vodka.
How to prepare a Pornstar Martini?,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
How do you make a Pornstar Martini?,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
How is a Pornstar Martini made?,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
What are the steps to make a Pornstar Martini?,Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
How do I serve a Pornstar Martini?,Serve a Pornstar Martini in a Cocktail glass.
Is a Pornstar Martini alcoholic?,Pornstar Martini is listed as: Alcoholic.
Does Pornstar Martini contain alcohol?,Pornstar Martini is listed as: Alcoholic.
What category is a Pornstar Martini?,Pornstar Martini is in the category: Cocktail.
"Is Pornstar Martini a cocktail, shot, or something else?",Pornstar Martini is in the category: Cocktail.
What glass is a Pornstar Martini served in?,Pornstar Martini is served in a Cocktail glass.
What glassware do I need for a Pornstar Martini?,You need a Cocktail glass for a Pornstar Martini.
Tell me about the Pornstar Martini cocktail.,question Generate a cocktail with Vodka Passoa Passion fruit juice Lime Prosecco answer Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.
What is in a Passion Fruit Martini?,"Passion Fruit Martini contains: 1 shot Vodka, 1/2 shot Sugar Syrup, Full Glass Passion fruit juice."
What ingredients are in a Passion Fruit Martini?,"The ingredients for Passion Fruit Martini are: 1 shot Vodka, 1/2 shot Sugar Syrup, Full Glass Passion fruit juice."
List the ingredients of a Passion Fruit Martini.,"Passion Fruit Martini uses: 1 shot Vodka, 1/2 shot Sugar Syrup, Full Glass Passion fruit juice."
What's in the Passion Fruit Martini cocktail?,"The Passion Fruit Martini cocktail contains: 1 shot Vodka, 1/2 shot Sugar Syrup, Full Glass Passion fruit juice."
Does a Passion Fruit Martini contain Vodka?,Yes — Passion Fruit Martini includes Vodka.
How to prepare a Passion Fruit Martini?,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
How do you make a Passion Fruit Martini?,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
How is a Passion Fruit Martini made?,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
What are the steps to make a Passion Fruit Martini?,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
How do I serve a Passion Fruit Martini?,Serve a Passion Fruit Martini in a Cocktail glass.
Is a Passion Fruit Martini alcoholic?,Passion Fruit Martini is listed as: Alcoholic.
Does Passion Fruit Martini contain alcohol?,Passion Fruit Martini is listed as: Alcoholic.
What category is a Passion Fruit Martini?,Passion Fruit Martini is in the category: Cocktail.
"Is Passion Fruit Martini a cocktail, shot, or something else?",Passion Fruit Martini is in the category: Cocktail.
What glass is a Passion Fruit Martini served in?,Passion Fruit Martini is served in a Cocktail glass.
What glassware do I need for a Passion Fruit Martini?,You need a Cocktail glass for a Passion Fruit Martini.
Tell me about the Passion Fruit Martini cocktail.,question Generate a cocktail with Vodka Sugar Syrup Passion fruit juice answer Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
What is in a Radioactive Long Island Iced Tea?,"Radioactive Long Island Iced Tea contains: 1 oz Rum, 1 oz Vodka, 1 oz Tequila, 1 oz Gin, 1 oz Triple sec, 1 oz Chambord raspberry liqueur, 1 oz Midori melon liqueur, 1 oz Malibu rum."
What ingredients are in a Radioactive Long Island Iced Tea?,"The ingredients for Radioactive Long Island Iced Tea are: 1 oz Rum, 1 oz Vodka, 1 oz Tequila, 1 oz Gin, 1 oz Triple sec, 1 oz Chambord raspberry liqueur, 1 oz Midori melon liqueur, 1 oz Malibu rum."
List the ingredients of a Radioactive Long Island Iced Tea.,"Radioactive Long Island Iced Tea uses: 1 oz Rum, 1 oz Vodka, 1 oz Tequila, 1 oz Gin, 1 oz Triple sec, 1 oz Chambord raspberry liqueur, 1 oz Midori melon liqueur, 1 oz Malibu rum."
What's in the Radioactive Long Island Iced Tea cocktail?,"The Radioactive Long Island Iced Tea cocktail contains: 1 oz Rum, 1 oz Vodka, 1 oz Tequila, 1 oz Gin, 1 oz Triple sec, 1 oz Chambord raspberry liqueur, 1 oz Midori melon liqueur, 1 oz Malibu rum."
Does a Radioactive Long Island Iced Tea contain Rum?,Yes — Radioactive Long Island Iced Tea includes Rum.
How to prepare a Radioactive Long Island Iced Tea?,Pour all ingredients over ice in a very tall glass. Sip cautiously.
How do you make a Radioactive Long Island Iced Tea?,Pour all ingredients over ice in a very tall glass. Sip cautiously.
How is a Radioactive Long Island Iced Tea made?,Pour all ingredients over ice in a very tall glass. Sip cautiously.
What are the steps to make a Radioactive Long Island Iced Tea?,Pour all ingredients over ice in a very tall glass. Sip cautiously.
How do I serve a Radioactive Long Island Iced Tea?,Serve a Radioactive Long Island Iced Tea in a Collins Glass.
Is a Radioactive Long Island Iced Tea alcoholic?,Radioactive Long Island Iced Tea is listed as: Alcoholic.
Does Radioactive Long Island Iced Tea contain alcohol?,Radioactive Long Island Iced Tea is listed as: Alcoholic.
What category is a Radioactive Long Island Iced Tea?,Radioactive Long Island Iced Tea is in the category: Ordinary Drink.
"Is Radioactive Long Island Iced Tea a cocktail, shot, or something else?",Radioactive Long Island Iced Tea is in the category: Ordinary Drink.
What glass is a Radioactive Long Island Iced Tea served in?,Radioactive Long Island Iced Tea is served in a Collins Glass.
What glassware do I need for a Radioactive Long Island Iced Tea?,You need a Collins Glass for a Radioactive Long Island Iced Tea.
Tell me about the Radioactive Long Island Iced Tea cocktail.,question Generate a cocktail with Rum Vodka Tequila Gin Triple sec Chambord raspberry liqueur Midori melon liqueur Malibu rum answer Pour all ingredients over ice in a very tall glass. Sip cautiously.
What is in a Spritz?,"Spritz contains: 6 cl Prosecco, 4 cl Campari, splash Soda Water."
What ingredients are in a Spritz?,"The ingredients for Spritz are: 6 cl Prosecco, 4 cl Campari, splash Soda Water."
List the ingredients of a Spritz.,"Spritz uses: 6 cl Prosecco, 4 cl Campari, splash Soda Water."
What's in the Spritz cocktail?,"The Spritz cocktail contains: 6 cl Prosecco, 4 cl Campari, splash Soda Water."
Does a Spritz contain Prosecco?,Yes — Spritz includes Prosecco.
How to prepare a Spritz?,"Build into glass over ice, garnish and serve."
How do you make a Spritz?,"Build into glass over ice, garnish and serve."
How is a Spritz made?,"Build into glass over ice, garnish and serve."
What are the steps to make a Spritz?,"Build into glass over ice, garnish and serve."
How do I serve a Spritz?,Serve a Spritz in a Old-Fashioned glass.
Is a Spritz alcoholic?,Spritz is listed as: Alcoholic.
Does Spritz contain alcohol?,Spritz is listed as: Alcoholic.
What category is a Spritz?,Spritz is in the category: Ordinary Drink.
"Is Spritz a cocktail, shot, or something else?",Spritz is in the category: Ordinary Drink.
What glass is a Spritz served in?,Spritz is served in a Old-Fashioned glass.
What glassware do I need for a Spritz?,You need a Old-Fashioned glass for a Spritz.
Tell me about the Spritz cocktail.,"question Generate a cocktail with Prosecco Campari Soda Water answer Build into glass over ice, garnish and serve."
What is in a Sangria?,"Sangria contains: Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon."
What ingredients are in a Sangria?,"The ingredients for Sangria are: Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon."
List the ingredients of a Sangria.,"Sangria uses: Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon."
What's in the Sangria cocktail?,"The Sangria cocktail contains: Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon."
Does a Sangria contain Red wine?,Yes — Sangria includes Red wine.
How to prepare a Sangria?,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
How do you make a Sangria?,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
How is a Sangria made?,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
What are the steps to make a Sangria?,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
How do I serve a Sangria?,Serve a Sangria in a Pitcher.
Is a Sangria alcoholic?,Sangria is listed as: Alcoholic.
Does Sangria contain alcohol?,Sangria is listed as: Alcoholic.
What category is a Sangria?,Sangria is in the category: Punch / Party Drink.
"Is Sangria a cocktail, shot, or something else?",Sangria is in the category: Punch / Party Drink.
What glass is a Sangria served in?,Sangria is served in a Pitcher.
What glassware do I need for a Sangria?,You need a Pitcher for a Sangria.
Tell me about the Sangria cocktail.,question Generate a cocktail with Red wine Sugar Orange juice Lemon juice Cloves Cinnamon answer Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
What is in a Sweet Sangria?,"Sweet Sangria contains: Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca."
What ingredients are in a Sweet Sangria?,"The ingredients for Sweet Sangria are: Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca."
List the ingredients of a Sweet Sangria.,"Sweet Sangria uses: Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca."
What's in the Sweet Sangria cocktail?,"The Sweet Sangria cocktail contains: Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca."
Does a Sweet Sangria contain Red wine?,Yes — Sweet Sangria includes Red wine.
How to prepare a Sweet Sangria?,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
How do you make a Sweet Sangria?,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
How is a Sweet Sangria made?,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
What are the steps to make a Sweet Sangria?,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
How do I serve a Sweet Sangria?,Serve a Sweet Sangria in a Pitcher.
Is a Sweet Sangria alcoholic?,Sweet Sangria is listed as: Alcoholic.
Does Sweet Sangria contain alcohol?,Sweet Sangria is listed as: Alcoholic.
What category is a Sweet Sangria?,Sweet Sangria is in the category: Punch / Party Drink.
"Is Sweet Sangria a cocktail, shot, or something else?",Sweet Sangria is in the category: Punch / Party Drink.
What glass is a Sweet Sangria served in?,Sweet Sangria is served in a Pitcher.
What glassware do I need for a Sweet Sangria?,You need a Pitcher for a Sweet Sangria.
Tell me about the Sweet Sangria cocktail.,"question Generate a cocktail with Red wine Sugar Water Apple Orange Lime Lemon Fresca answer Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
What is in a Tom Collins?,"Tom Collins contains: 2 oz Gin, 1 oz Lemon juice, 1 tsp superfine Sugar, 3 oz Club soda, 1 Maraschino cherry, 1 Orange."
What ingredients are in a Tom Collins?,"The ingredients for Tom Collins are: 2 oz Gin, 1 oz Lemon juice, 1 tsp superfine Sugar, 3 oz Club soda, 1 Maraschino cherry, 1 Orange."
List the ingredients of a Tom Collins.,"Tom Collins uses: 2 oz Gin, 1 oz Lemon juice, 1 tsp superfine Sugar, 3 oz Club soda, 1 Maraschino cherry, 1 Orange."
What's in the Tom Collins cocktail?,"The Tom Collins cocktail contains: 2 oz Gin, 1 oz Lemon juice, 1 tsp superfine Sugar, 3 oz Club soda, 1 Maraschino cherry, 1 Orange."
Does a Tom Collins contain Gin?,Yes — Tom Collins includes Gin.
How to prepare a Tom Collins?,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
How do you make a Tom Collins?,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
How is a Tom Collins made?,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
What are the steps to make a Tom Collins?,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
How do I serve a Tom Collins?,Serve a Tom Collins in a Collins glass.
Is a Tom Collins alcoholic?,Tom Collins is listed as: Alcoholic.
Does Tom Collins contain alcohol?,Tom Collins is listed as: Alcoholic.
What category is a Tom Collins?,Tom Collins is in the category: Ordinary Drink.
"Is Tom Collins a cocktail, shot, or something else?",Tom Collins is in the category: Ordinary Drink.
What glass is a Tom Collins served in?,Tom Collins is served in a Collins glass.
What glassware do I need for a Tom Collins?,You need a Collins glass for a Tom Collins.
Tell me about the Tom Collins cocktail.,"question Generate a cocktail with Gin Lemon juice Sugar Club soda Maraschino cherry Orange answer In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
What is in a Tequila Sunrise?,"Tequila Sunrise contains: Tequila, Orange juice, Grenadine."
What ingredients are in a Tequila Sunrise?,"The ingredients for Tequila Sunrise are: Tequila, Orange juice, Grenadine."
List the ingredients of a Tequila Sunrise.,"Tequila Sunrise uses: Tequila, Orange juice, Grenadine."
What's in the Tequila Sunrise cocktail?,"The Tequila Sunrise cocktail contains: Tequila, Orange juice, Grenadine."
Does a Tequila Sunrise contain Tequila?,Yes — Tequila Sunrise includes Tequila.
How to prepare a Tequila Sunrise?,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
How do you make a Tequila Sunrise?,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
How is a Tequila Sunrise made?,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
What are the steps to make a Tequila Sunrise?,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
How do I serve a Tequila Sunrise?,Serve a Tequila Sunrise in a Highball glass.
Is a Tequila Sunrise alcoholic?,Tequila Sunrise is listed as: Alcoholic.
Does Tequila Sunrise contain alcohol?,Tequila Sunrise is listed as: Alcoholic.
What category is a Tequila Sunrise?,Tequila Sunrise is in the category: Cocktail.
"Is Tequila Sunrise a cocktail, shot, or something else?",Tequila Sunrise is in the category: Cocktail.
What glass is a Tequila Sunrise served in?,Tequila Sunrise is served in a Highball glass.
What glassware do I need for a Tequila Sunrise?,You need a Highball glass for a Tequila Sunrise.
Tell me about the Tequila Sunrise cocktail.,"question Generate a cocktail with Tequila Orange juice Grenadine answer Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
What is in a Vodka Martini?,"Vodka Martini contains: 1 1/2 oz Vodka, 3/4 oz Dry Vermouth, 1 Olive."
What ingredients are in a Vodka Martini?,"The ingredients for Vodka Martini are: 1 1/2 oz Vodka, 3/4 oz Dry Vermouth, 1 Olive."
List the ingredients of a Vodka Martini.,"Vodka Martini uses: 1 1/2 oz Vodka, 3/4 oz Dry Vermouth, 1 Olive."
What's in the Vodka Martini cocktail?,"The Vodka Martini cocktail contains: 1 1/2 oz Vodka, 3/4 oz Dry Vermouth, 1 Olive."
Does a Vodka Martini contain Vodka?,Yes — Vodka Martini includes Vodka.
How to prepare a Vodka Martini?,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
How do you make a Vodka Martini?,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
How is a Vodka Martini made?,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
What are the steps to make a Vodka Martini?,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
How do I serve a Vodka Martini?,Serve a Vodka Martini in a Cocktail glass.
Is a Vodka Martini alcoholic?,Vodka Martini is listed as: Alcoholic.
Does Vodka Martini contain alcohol?,Vodka Martini is listed as: Alcoholic.
What category is a Vodka Martini?,Vodka Martini is in the category: Ordinary Drink.
"Is Vodka Martini a cocktail, shot, or something else?",Vodka Martini is in the category: Ordinary Drink.
What glass is a Vodka Martini served in?,Vodka Martini is served in a Cocktail glass.
What glassware do I need for a Vodka Martini?,You need a Cocktail glass for a Vodka Martini.
Tell me about the Vodka Martini cocktail.,"question Generate a cocktail with Vodka Dry Vermouth Olive answer Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
What is in a Whiskey Sour?,"Whiskey Sour contains: 2 oz Blended whiskey, Juice of 1/2 Lemon, 1/2 tsp Powdered sugar, 1 Cherry, 1/2 slice Lemon."
What ingredients are in a Whiskey Sour?,"The ingredients for Whiskey Sour are: 2 oz Blended whiskey, Juice of 1/2 Lemon, 1/2 tsp Powdered sugar, 1 Cherry, 1/2 slice Lemon."
List the ingredients of a Whiskey Sour.,"Whiskey Sour uses: 2 oz Blended whiskey, Juice of 1/2 Lemon, 1/2 tsp Powdered sugar, 1 Cherry, 1/2 slice Lemon."
What's in the Whiskey Sour cocktail?,"The Whiskey Sour cocktail contains: 2 oz Blended whiskey, Juice of 1/2 Lemon, 1/2 tsp Powdered sugar, 1 Cherry, 1/2 slice Lemon."
Does a Whiskey Sour contain Blended whiskey?,Yes — Whiskey Sour includes Blended whiskey.
How to prepare a Whiskey Sour?,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
How do you make a Whiskey Sour?,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
How is a Whiskey Sour made?,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
What are the steps to make a Whiskey Sour?,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
How do I serve a Whiskey Sour?,Serve a Whiskey Sour in a Old-fashioned glass.
Is a Whiskey Sour alcoholic?,Whiskey Sour is listed as: Alcoholic.
Does Whiskey Sour contain alcohol?,Whiskey Sour is listed as: Alcoholic.
What category is a Whiskey Sour?,Whiskey Sour is in the category: Ordinary Drink.
"Is Whiskey Sour a cocktail, shot, or something else?",Whiskey Sour is in the category: Ordinary Drink.
What glass is a Whiskey Sour served in?,Whiskey Sour is served in a Old-fashioned glass.
What glassware do I need for a Whiskey Sour?,You need a Old-fashioned glass for a Whiskey Sour.
Tell me about the Whiskey Sour cocktail.,"question Generate a cocktail with Blended whiskey Lemon Powdered sugar Cherry Lemon answer Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
What is in a White Russian?,"White Russian contains: Vodka, Coffee liqueur, Light cream."
What ingredients are in a White Russian?,"The ingredients for White Russian are: Vodka, Coffee liqueur, Light cream."
List the ingredients of a White Russian.,"White Russian uses: Vodka, Coffee liqueur, Light cream."
What's in the White Russian cocktail?,"The White Russian cocktail contains: Vodka, Coffee liqueur, Light cream."
Does a White Russian contain Vodka?,Yes — White Russian includes Vodka.
How to prepare a White Russian?,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
How do you make a White Russian?,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
How is a White Russian made?,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
What are the steps to make a White Russian?,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
How do I serve a White Russian?,Serve a White Russian in a Old-fashioned glass.
Is a White Russian alcoholic?,White Russian is listed as: Alcoholic.
Does White Russian contain alcohol?,White Russian is listed as: Alcoholic.
What category is a White Russian?,White Russian is in the category: Ordinary Drink.
"Is White Russian a cocktail, shot, or something else?",White Russian is in the category: Ordinary Drink.
What glass is a White Russian served in?,White Russian is served in a Old-fashioned glass.
What glassware do I need for a White Russian?,You need a Old-fashioned glass for a White Russian.
Tell me about the White Russian cocktail.,question Generate a cocktail with Vodka Coffee liqueur Light cream answer Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
What is in a Winter Paloma?,"Winter Paloma contains: 2 shots Tequila, Top Grapefruit Juice, Juice of 1 Lime Juice, 1 tsp Agave Syrup, Dash Pepper."
What ingredients are in a Winter Paloma?,"The ingredients for Winter Paloma are: 2 shots Tequila, Top Grapefruit Juice, Juice of 1 Lime Juice, 1 tsp Agave Syrup, Dash Pepper."
List the ingredients of a Winter Paloma.,"Winter Paloma uses: 2 shots Tequila, Top Grapefruit Juice, Juice of 1 Lime Juice, 1 tsp Agave Syrup, Dash Pepper."
What's in the Winter Paloma cocktail?,"The Winter Paloma cocktail contains: 2 shots Tequila, Top Grapefruit Juice, Juice of 1 Lime Juice, 1 tsp Agave Syrup, Dash Pepper."
Does a Winter Paloma contain Tequila?,Yes — Winter Paloma includes Tequila.
How to prepare a Winter Paloma?,Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.
How do you make a Winter Paloma?,Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.
How is a Winter Paloma made?,Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.
What are the steps to make a Winter Paloma?,Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.
How do I serve a Winter Paloma?,Serve a Winter Paloma in a Highball glass.
Is a Winter Paloma alcoholic?,Winter Paloma is listed as: Alcoholic.
Does Winter Paloma contain alcohol?,Winter Paloma is listed as: Alcoholic.
What category is a Winter Paloma?,Winter Paloma is in the category: Cocktail.
"Is Winter Paloma a cocktail, shot, or something else?",Winter Paloma is in the category: Cocktail.
What glass is a Winter Paloma served in?,Winter Paloma is served in a Highball glass.
What glassware do I need for a Winter Paloma?,You need a Highball glass for a Winter Paloma.
Tell me about the Winter Paloma cocktail.,question Generate a cocktail with Tequila Grapefruit Juice Lime Juice Agave Syrup Pepper answer Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.
What is in a White Wine Sangria?,"White Wine Sangria contains: 1 Lime, 1 lemon, 750 ml White Wine, 1 cup Strawberries, 1 cup Apple, 3 shots Apple Brandy, Top Soda Water."
What ingredients are in a White Wine Sangria?,"The ingredients for White Wine Sangria are: 1 Lime, 1 lemon, 750 ml White Wine, 1 cup Strawberries, 1 cup Apple, 3 shots Apple Brandy, Top Soda Water."
List the ingredients of a White Wine Sangria.,"White Wine Sangria uses: 1 Lime, 1 lemon, 750 ml White Wine, 1 cup Strawberries, 1 cup Apple, 3 shots Apple Brandy, Top Soda Water."
What's in the White Wine Sangria cocktail?,"The White Wine Sangria cocktail contains: 1 Lime, 1 lemon, 750 ml White Wine, 1 cup Strawberries, 1 cup Apple, 3 shots Apple Brandy, Top Soda Water."
Does a White Wine Sangria contain Lime?,Yes — White Wine Sangria includes Lime.
How to prepare a White Wine Sangria?,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
How do you make a White Wine Sangria?,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
How is a White Wine Sangria made?,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
